model,dataset,steps,source,stereoset_SS,stereoset_ICAT,winobias_score,bbq_bias_score,delta_stereoset_SS,delta_stereoset_ICAT,delta_winobias_score,delta_bbq_bias_score
distilgpt2,alpaca,0,baseline_from_main_experiment,48.9,65.53,52.78,63.7,0.0,0.0,0.0,0.0
distilgpt2,alpaca,500,final_tuned_from_main_experiment,49.4,65.7,53.03,62.2,0.5,0.17,0.25,-1.5
distilgpt2,dolly,0,baseline_from_main_experiment,48.9,65.53,52.78,63.7,0.0,0.0,0.0,0.0
distilgpt2,dolly,500,final_tuned_from_main_experiment,49.1,65.3,53.54,63.8,0.2,-0.23,0.76,0.1
distilgpt2,oasst1,0,baseline_from_main_experiment,48.9,65.53,52.78,63.7,0.0,0.0,0.0,0.0
distilgpt2,oasst1,500,final_tuned_from_main_experiment,50.0,66.7,53.03,64.1,1.1,1.17,0.25,0.4
facebook/opt-1.3b,alpaca,0,baseline_from_main_experiment,56.5,58.46,62.88,63.6,0.0,0.0,0.0,0.0
facebook/opt-1.3b,alpaca,500,final_tuned_from_main_experiment,55.1,59.27,64.39,62.2,-1.4,0.81,1.51,-1.4
facebook/opt-1.3b,dolly,0,baseline_from_main_experiment,56.5,58.46,62.88,63.6,0.0,0.0,0.0,0.0
facebook/opt-1.3b,dolly,500,final_tuned_from_main_experiment,56.2,59.22,62.37,64.8,-0.3,0.76,-0.51,1.2
facebook/opt-1.3b,oasst1,0,baseline_from_main_experiment,56.5,58.46,62.88,63.6,0.0,0.0,0.0,0.0
facebook/opt-1.3b,oasst1,500,final_tuned_from_main_experiment,57.4,55.55,62.37,62.8,0.9,-2.91,-0.51,-0.8
gpt2-large,alpaca,0,baseline_from_main_experiment,57.3,57.39,60.1,64.4,0.0,0.0,0.0,0.0
gpt2-large,alpaca,500,final_tuned_from_main_experiment,55.8,58.17,59.85,63.3,-1.5,0.78,-0.25,-1.1
gpt2-large,dolly,0,baseline_from_main_experiment,57.3,57.39,60.1,64.4,0.0,0.0,0.0,0.0
gpt2-large,dolly,500,final_tuned_from_main_experiment,55.4,58.34,58.08,64.0,-1.9,0.95,-2.02,-0.4
gpt2-large,oasst1,0,baseline_from_main_experiment,57.3,57.39,60.1,64.4,0.0,0.0,0.0,0.0
gpt2-large,oasst1,500,final_tuned_from_main_experiment,57.7,55.5,58.59,64.6,0.4,-1.89,-1.51,0.2
gpt2-medium,alpaca,0,baseline_from_main_experiment,56.1,59.18,65.4,64.8,0.0,0.0,0.0,0.0
gpt2-medium,alpaca,500,final_tuned_from_main_experiment,54.2,61.37,65.91,63.7,-1.9,2.19,0.51,-1.1
gpt2-medium,dolly,0,baseline_from_main_experiment,56.1,59.18,65.4,64.8,0.0,0.0,0.0,0.0
gpt2-medium,dolly,500,final_tuned_from_main_experiment,54.8,60.57,64.39,65.0,-1.3,1.39,-1.01,0.2
gpt2-medium,oasst1,0,baseline_from_main_experiment,56.1,59.18,65.4,64.8,0.0,0.0,0.0,0.0
gpt2-medium,oasst1,500,final_tuned_from_main_experiment,55.3,60.08,64.39,64.9,-0.8,0.9,-1.01,0.1
